blockId,x,y,z,faces
minecraft:grass_block,1,0,12,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,1,0,13,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,1,0,14,N:1|S:1|E:0|W:1|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,2,0,0,N:1|S:0|E:1|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,2,0,1,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,2,0,2,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,2,0,3,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,2,0,4,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,2,0,5,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,2,0,6,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,2,0,7,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,2,0,8,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,2,0,9,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,2,0,10,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,2,0,11,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,2,0,12,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,2,0,13,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,2,0,14,N:1|S:1|E:0|W:1|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,3,0,0,N:1|S:0|E:1|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,3,0,1,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,3,0,2,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,3,0,3,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,3,0,4,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,3,0,5,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,3,0,6,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,3,0,7,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,3,0,8,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,3,0,9,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,3,0,10,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,3,0,11,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,3,0,12,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,3,0,13,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,3,0,14,N:1|S:1|E:0|W:1|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,4,0,0,N:1|S:1|E:1|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:dark_oak_log,4,0,1,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,4,0,2,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,4,0,3,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,4,0,4,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,4,0,5,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,4,0,6,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,4,0,7,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,4,0,8,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,4,0,9,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,4,0,10,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,4,0,11,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,4,0,12,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:dark_oak_log,4,0,13,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,4,0,14,N:1|S:0|E:0|W:1|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,5,0,0,N:1|S:0|E:1|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,5,0,1,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,5,0,2,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,5,0,3,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,5,0,4,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,5,0,5,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,5,0,6,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,5,0,7,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,5,0,8,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,5,0,9,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,5,0,10,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,5,0,11,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,5,0,12,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,5,0,13,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,5,0,14,N:1|S:1|E:0|W:1|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,6,0,0,N:1|S:1|E:1|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,6,0,1,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,6,0,2,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,6,0,3,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,6,0,4,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,6,0,5,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,6,0,6,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,6,0,7,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,6,0,8,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,6,0,9,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,6,0,10,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,6,0,11,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,6,0,12,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,6,0,13,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,6,0,14,N:1|S:1|E:0|W:1|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,7,0,0,N:1|S:0|E:1|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,7,0,1,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,7,0,2,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,7,0,3,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,7,0,4,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,7,0,5,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,7,0,6,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,7,0,7,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,7,0,8,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,7,0,9,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,7,0,10,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,7,0,11,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,7,0,12,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,7,0,13,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,7,0,14,N:1|S:1|E:0|W:1|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,8,0,0,N:1|S:0|E:1|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,8,0,1,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,8,0,2,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,8,0,3,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,8,0,4,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,8,0,5,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,8,0,6,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,8,0,7,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,8,0,8,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,8,0,9,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,8,0,10,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,8,0,11,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,8,0,12,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,8,0,13,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,8,0,14,N:1|S:1|E:0|W:1|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,9,0,0,N:1|S:1|E:1|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,9,0,1,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,9,0,2,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,9,0,3,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,9,0,4,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,9,0,5,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,9,0,6,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,9,0,7,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,9,0,8,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,9,0,9,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,9,0,10,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,9,0,11,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,9,0,12,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,9,0,13,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,9,0,14,N:1|S:1|E:0|W:1|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,10,0,0,N:1|S:1|E:1|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:dark_oak_log,10,0,1,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,10,0,2,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,10,0,3,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,10,0,4,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,10,0,5,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,10,0,6,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,10,0,7,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,10,0,8,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,10,0,9,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,10,0,10,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,10,0,11,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,10,0,12,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:dark_oak_log,10,0,13,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,10,0,14,N:1|S:1|E:0|W:1|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,11,0,0,N:1|S:1|E:1|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,11,0,1,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,11,0,2,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,11,0,3,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,11,0,4,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,11,0,5,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,11,0,6,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,11,0,7,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,11,0,8,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,11,0,9,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:birch_planks,11,0,10,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,11,0,11,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,11,0,12,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,11,0,13,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,11,0,14,N:1|S:1|E:0|W:1|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,12,0,0,N:1|S:1|E:1|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,12,0,1,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,12,0,2,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,12,0,3,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,12,0,4,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,12,0,5,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,12,0,6,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,12,0,7,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,12,0,8,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,12,0,9,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,12,0,10,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:cobblestone,12,0,11,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,12,0,12,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,12,0,13,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,12,0,14,N:1|S:1|E:0|W:1|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,13,0,0,N:1|S:0|E:1|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,13,0,1,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,13,0,2,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,13,0,3,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:dark_oak_log,13,0,4,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,13,0,5,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,13,0,6,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,13,0,7,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,13,0,8,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,13,0,9,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:dark_oak_log,13,0,10,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,13,0,11,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,13,0,12,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,13,0,13,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,13,0,14,N:1|S:1|E:0|W:1|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,14,0,0,N:1|S:1|E:1|W:0|U:0|D:1|shape:FULL|facing:none|half:none
minecraft:grass_block,14,0,1,N:1|S:1|E:0|W:0|U:0|D:1|shape:FULL|facing:none|half:none
minecraft:grass_block,14,0,2,N:1|S:1|E:0|W:0|U:0|D:1|shape:FULL|facing:none|half:none
minecraft:grass_block,14,0,3,N:1|S:1|E:0|W:0|U:0|D:1|shape:FULL|facing:none|half:none
minecraft:grass_block,14,0,4,N:1|S:1|E:0|W:0|U:0|D:1|shape:FULL|facing:none|half:none
minecraft:grass_block,14,0,5,N:1|S:1|E:0|W:0|U:0|D:1|shape:FULL|facing:none|half:none
minecraft:grass_block,14,0,6,N:1|S:1|E:0|W:0|U:0|D:1|shape:FULL|facing:none|half:none
minecraft:grass_block,14,0,7,N:1|S:1|E:0|W:0|U:0|D:1|shape:FULL|facing:none|half:none
minecraft:grass_block,14,0,8,N:1|S:1|E:0|W:0|U:0|D:1|shape:FULL|facing:none|half:none
minecraft:grass_block,14,0,9,N:1|S:0|E:0|W:0|U:0|D:1|shape:FULL|facing:none|half:none
minecraft:grass_block,14,0,10,N:1|S:1|E:0|W:0|U:0|D:1|shape:FULL|facing:none|half:none
minecraft:grass_block,14,0,11,N:1|S:0|E:0|W:0|U:0|D:1|shape:FULL|facing:none|half:none
minecraft:grass_block,14,0,12,N:1|S:1|E:0|W:0|U:0|D:1|shape:FULL|facing:none|half:none
minecraft:grass_block,14,0,13,N:1|S:1|E:0|W:0|U:0|D:1|shape:FULL|facing:none|half:none
minecraft:grass_block,14,0,14,N:1|S:1|E:0|W:1|U:0|D:1|shape:FULL|facing:none|half:none
minecraft:leaf_litter,0,1,0,N:0|S:1|E:1|W:1|U:1|D:0|shape:FULL|facing:none|half:none
minecraft:air,0,1,1,N:0|S:1|E:0|W:0|U:1|D:0|shape:FULL|facing:none|half:none
minecraft:short_grass,0,1,2,N:0|S:1|E:1|W:0|U:1|D:1|shape:FULL|facing:none|half:none
minecraft:short_grass,0,1,3,N:0|S:1|E:0|W:0|U:1|D:1|shape:FULL|facing:none|half:none
minecraft:short_grass,0,1,4,N:0|S:1|E:0|W:0|U:1|D:0|shape:FULL|facing:none|half:none
minecraft:short_grass,0,1,5,N:0|S:1|E:0|W:1|U:1|D:1|shape:FULL|facing:none|half:none
minecraft:air,0,1,6,N:0|S:1|E:0|W:0|U:1|D:1|shape:FULL|facing:none|half:none
minecraft:short_grass,0,1,7,N:0|S:1|E:1|W:1|U:1|D:1|shape:FULL|facing:none|half:none
minecraft:air,0,1,8,N:0|S:1|E:0|W:0|U:1|D:1|shape:FULL|facing:none|half:none
minecraft:short_grass,0,1,9,N:0|S:1|E:1|W:1|U:1|D:1|shape:FULL|facing:none|half:none
minecraft:air,0,1,10,N:0|S:1|E:0|W:1|U:1|D:0|shape:FULL|facing:none|half:none
minecraft:air,0,1,11,N:0|S:1|E:1|W:1|U:1|D:1|shape:FULL|facing:none|half:none
minecraft:air,0,1,12,N:0|S:1|E:1|W:1|U:1|D:1|shape:FULL|facing:none|half:none
minecraft:air,0,1,13,N:0|S:1|E:1|W:1|U:1|D:1|shape:FULL|facing:none|half:none
minecraft:air,0,1,14,N:0|S:1|E:1|W:1|U:1|D:1|shape:FULL|facing:none|half:none
minecraft:leaf_litter,1,1,0,N:0|S:1|E:1|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:short_grass,1,1,1,N:0|S:1|E:0|W:1|U:1|D:1|shape:FULL|facing:none|half:none
minecraft:air,1,1,2,N:0|S:1|E:0|W:1|U:0|D:1|shape:FULL|facing:none|half:none
minecraft:air,1,1,3,N:0|S:1|E:1|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:dark_oak_log,1,1,4,N:0|S:0|E:1|W:1|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:air,1,1,5,N:0|S:1|E:0|W:1|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:air,1,1,6,N:0|S:1|E:1|W:1|U:1|D:0|shape:FULL|facing:none|half:none
